CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL
33.172.537/0001-98;BANCO J.P. MORGAN S.A.;BANCO J. P. MORGAN S.A.;1997-06-04;2003-08-06;CANCELAMENTO A PEDIDO;CANCELADA;2003-08-06;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA BRIGADEIRO FARIA LIMA;3729, 11 AO 15;ITAIM BIBI;SÃO PAULO;SP;4538905;11;49503700;pedro.juliano@jpmorgan.com
30.723.886/0001-62;BANCO MODAL S.A.;BANCO MODAL S.A.;2015-06-08;;;ATIVO;2015-06-08;CORRESPONDÊNCIA. ADM. FUNDO;JUSCELINO KUBITSCHEK 1909;26° ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4551065;11;40033710;juridico.regulatorio@xpi.com.br
30.723.886/0001-62;BANCO MODAL S.A.;BANCO MODAL S.A.;2001-06-05;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;JUSCELINO KUBITSCHEK 1909;26° ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4551065;11;40033710;juridico.regulatorio@xpi.com.br
78.632.767/0001-20;BANCO OURINVEST S.A.;OURINVEST;2000-09-27;;;ATIVO;2000-09-27;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA PAULISTA,1728;SOBRELOJA, 2 AO 5, 7 E 11 ANDARES;BELA VISTA;SÃO PAULO;SP;1310919;11;40814444;juridico@ourinvest.com.br
33.074.683/0001-80;BANCO RURAL MAIS S.A.;BANCO SUL AMERICA SA;1998-01-15;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;RUA RIO DE JANEIRO, N° 927;15º ANDAR;CENTRO;BELO HORIZONTE;MG;30160041;11;37794822;faleconosco@rural.com.br
90.400.888/0001-42;BANCO SANTANDER (BRASIL) S.A.;BANCO SANTANDER (BRASIL) S.A.;2013-02-14;2015-06-26;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2015-06-26;CORRESPONDÊNCIA. ADM. FUNDO;RUA AMADOR BUENO;474/2 º ANDAR/BL.D;SANTO AMARO;SÃO PAULO;SP;4752901;11;35532885;corgreguladores@santander.com.br
33.517.640/0001-22;BANCO SANTANDER S.A.;BANCO SANTANDER S.A.;1997-05-26;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;AV. NAÇÕES UNIDAS, 12901 - 19º;CENU - TORRE NORTE;BROOKLIN;SÃO PAULO;SP;4578000;11;51053535;juridsocietario@banespa.com.br
48.103.014/0001-67;BANCO SUDAMERIS DE INVESTIMENTO SA;BANCO SUDAMERIS DE INVEST S.A.;1997-05-19;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;AV PAULISTA 1374;8 ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;1310916;11;31746663;paulo.cesar.werneck@br.abnamro.com
76.550.714/0001-35;BANESTADO CVM S/A;BANESTADO CVM S/A;1997-05-16;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;PÇA ALFREDO E. S. ARANHA,100;T. EUDORO VILELA14;JABAQUARA;SÃO PAULO;SP;4344902;11;50294658;drinvest@itau.com.br
33.753.740/0001-58;BANIF BANCO DE INVESTIMENTO (BRASIL) S/A;BANIF BANCO DE INVESTIMENTO (BRASIL) S/A;2005-11-21;2014-05-21;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2014-05-21;CORRESPONDÊNCIA. ADM. FUNDO;RUA MINAS DE PRATA, 30;15 ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4552080;11;31652000;geraldo.castilho@banif.com.br
30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB GESTÃO DE RECURSOS DTVM SA;2011-12-20;2012-04-04;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2012-04-04;CORRESPONDÊNCIA. ADM. FUNDO;PRAÇA XV DE NOVEMBRO, 20;2º E 3º ANDARES;CENTRO;RIO DE JANEIRO;RJ;20010010;21;38087500;bbasset@bb.com.br
30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB GESTÃO DE RECURSOS DTVM SA;2012-01-13;;;ATIVO;2012-01-13;CORRESPONDÊNCIA. ADM. FUNDO;PRAÇA XV DE NOVEMBRO, 20;2º E 3º ANDARES;CENTRO;RIO DE JANEIRO;RJ;20010010;21;38087500;bbasset@bb.com.br
61.859.724/0001-80;BCN CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;CLSA - BCN CTVM S.A.;1997-05-28;2003-05-30;CANCELAMENTO A PEDIDO;CANCELADA;2003-05-30;CORRESPONDÊNCIA. ADM. FUNDO;R BOA VISTA 208/13 AND CJ "B";;;SÃO PAULO;SP;1014000;;;4223.jorgeluiz@bradesco.com.br
50.585.090/0001-06;BCV - BANCO DE CRÉDITO E VAREJO S.A.;BCV - BANCO DE CRÉDITO E VAREJO S.A.;1997-05-30;;;ATIVO;1997-05-30;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA PRESIDENTE JUSCELINO;N 1830. 10º ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543000;;;maria.saad@bancobmg.com.br
00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;BEM DTVM LTDA;2009-11-11;;;ATIVO;2009-11-11;CORRESPONDÊNCIA. ADM. FUNDO;NUCLEO ADM. CIDADE DE DEUS;P. AMARELO 1º AND;VILA YARA;OSASCO;SP;6029900;11;36844522;kelly.navarro@bradesco.com.br
35.068.183/0001-61;BLUE ASSET GESTÃO DE RECURSOS LTDA.;BLUE ASSET;2021-01-04;2021-01-04;REGISTRO INDEVIDO;CANCELADA;2021-01-04;;;;;;;;;;mariaclara@blueasset.com.br
02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;BNY MELLON SERVIÇOS FINANCEIROS DTVM S.A.;2009-04-01;;;ATIVO;2009-04-01;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA PRESIDENTE WILSON, 231;13 ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;21;32192479;bnymellon_cvm@bnymellon.com.br
02.201.501/0001-61;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;BNY MELLON SERVIÇOS FINANCEIROS DTVM S.A.;2011-10-04;2011-10-04;REGISTRO INDEVIDO;CANCELADA;2011-10-04;CORRESPONDÊNCIA. ADM. FUNDO;AVENIDA PRESIDENTE WILSON, 231;13 ANDAR;CENTRO;RIO DE JANEIRO;RJ;20030905;21;32192479;bnymellon_cvm@bnymellon.com.br
35.929.132/0001-87;BOREAL SA CORRETORA VALORES CAMBIO;BOREAL SA CORRETORA VALORES CAMBIO;1997-05-21;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;AV PRES WILSON 231/29 ANDAR;;CENTRO;RIO DE JANEIRO;RJ;20030021;;;
44.077.014/0001-89;BR-CAPITAL DTVM S.A.;BR-CAPITAL DTVM S.A.;1998-06-29;;;ATIVO;1998-06-29;CORRESPONDÊNCIA. ADM. FUNDO;AV. DAS NAÇÕES UNIDAS, 11857;11º ANDAR- CJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;4578908;11;55083500;carolina.gregorio@unitas.com.br
62.237.367/0001-80;BRAZILIAN MORTGAGES COMPANHIA HIPOTECÁRIA;BRAZILIAN MORTGAGES CIA HIPOTECÁRIA;2007-06-26;2007-08-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2007-08-13;CORRESPONDÊNCIA. ADM. FUNDO;Avenida Paulista, 1374;16o andar;BELA VISTA;SÃO PAULO;SP;1310100;11;32645464;fabio.nogueira@brazilianmortgages.com.br
62.237.367/0001-80;BRAZILIAN MORTGAGES COMPANHIA HIPOTECÁRIA;BRAZILIAN MORTGAGES CIA HIPOTECÁRIA;2010-07-15;2013-04-30;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2013-04-30;CORRESPONDÊNCIA. ADM. FUNDO;Avenida Paulista, 1374;16o andar;BELA VISTA;SÃO PAULO;SP;1310100;11;32645464;fabio.nogueira@brazilianmortgages.com.br
33.850.686/0001-69;BRB DTVM SA;BRB DTVM SA;2014-03-12;;;ATIVO;2014-03-12;CORRESPONDÊNCIA. ADM. FUNDO;SAUN QD 05 LOTE C BL C TORRE 3 - CNC;2 ANDAR;ASA NORTE;BRASÍLIA;DF;70040250;61;34092001;ggecor@dtvm.brb.com.br
33.923.111/0001-29;BRBK PARTICIPAÃiES S.A.;BRKB PARTICIPACOES S.A;1997-05-30;;;ATIVO;1997-05-30;CORRESPONDÊNCIA. ADM. FUNDO;AV. DAS NAÇÕES UNIDAS 14261;ALA B, 20º ANDAR;VILA GERTRUDES;SÃO PAULO;SP;4794000;11;25409150;cadastro.brkb@brookfield.com
13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2011-07-27;;;ATIVO;2011-07-27;CORRESPONDÊNCIA. ADM. FUNDO;RUA IGUATEMI;19º ANDAR;ITAIM BIBI;SÃO PAULO;SP;1451011;11;35090600;robson.reis@apexgroup.com
29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;1997-05-27;2005-08-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-08-24;CORRESPONDÊNCIA. ADM. FUNDO;AV BRIGADEIRO FARIA LIMA, 3477;14º andar;ITAIM BIBI;SÃO PAULO;SP;4538133;11;33832000;ol-reguladores@btgpactual.com
59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;2010-03-19;;;ATIVO;2010-03-19;CORRESPONDÊNCIA. ADM. FUNDO;PRAIA DE BOTAFOGO, 501;5 E 6 ANDAR (PARTE) - TORRE CORCOVADO;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;21;32629600;ol-juridico@btgpactual.com
03.384.738/0001-98;BV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;BV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2009-10-26;;;ATIVO;2009-10-26;CORRESPONDÊNCIA. ADM. FUNDO;AV. DAS NAÇÕES UNIDAS, 14171;TORRE A 11º ANDAR;VILA GERTRUDES;SÃO PAULO;SP;4794000;11;51715003;vam-cvm@vam.com.br
00.360.305/0001-04;CAIXA ECONOMICA FEDERAL;CAIXA ECONOMICA FEDERAL;2004-09-03;;;ATIVO;2004-09-03;CORRESPONDÊNCIA. ADM. FUNDO;AV. PAULISTA Nº 750;9º ANDAR;BELA VISTA;SÃO PAULO;SP;1310100;61;35724600;decoi@caixa.gov.br
19.182.613/0001-15;CEDARWOOD PRIVATE EQUITY S.A.;CEDARWOOD PRIVATE EQUITY S.A.;2016-08-25;2016-11-30;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-11-30;CORRESPONDÊNCIA. ADM. FUNDO;Rua Ramos Batista;152 / 11 andar;Vila Olimpia;SÃO PAULO;SP;4552020;11;30316177;cvm@phenomcapital.com.br
33.868.597/0001-40;CITIBANK DTVM SA;CITIBANK DTVM;2010-05-25;2019-11-08;CANCELAMENTO A PEDIDO;CANCELADA;2019-11-08;CORRESPONDÊNCIA. ADM. FUNDO;AV. PAULISTA, Nº 1.111;14º ANDAR;BELA VISTA;SÃO PAULO;SP;1311920;11;40097975;citi.administracao@citi.com
33.868.597/0001-40;CITIBANK DTVM SA;CITIBANK DTVM;2011-05-10;2011-09-14;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2011-09-14;CORRESPONDÊNCIA. ADM. FUNDO;AV. PAULISTA, Nº 1.111;14º ANDAR;BELA VISTA;SÃO PAULO;SP;1311920;11;40097975;citi.administracao@citi.com
02.671.743/0001-19;CM CAPITAL MARKETS DTVM LTDA;CM CAPITAL MARKET DTVM LTDA;2016-08-29;2016-10-17;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-10-17;CORRESPONDÊNCIA. ADM. FUNDO;RUA GOMES DE CARVALHO 1195;4º ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4547004;11;38421122;admfundos@cmcapital.com.br
02.671.743/0001-19;CM CAPITAL MARKETS DTVM LTDA;CM CAPITAL MARKET DTVM LTDA;2016-12-16;;;ATIVO;2016-12-16;CORRESPONDÊNCIA. ADM. FUNDO;RUA GOMES DE CARVALHO 1195;4º ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4547004;11;38421122;admfundos@cmcapital.com.br
00.336.036/0001-40;COINVALORES CCVM LTDA;COINVALORES;2003-09-11;;;ATIVO;2003-09-11;;;;;;;;;;admfundoimobiliario@coinvalores.com.br
59.148.775/0001-51;COINVALORES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;COINVALORES - DIST;2002-10-17;2005-08-30;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-08-30;CORRESPONDÊNCIA. ADM. FUNDO;AV.BRIGADEIRO FARIA LIMA,1461;10º ANDAR;PINHEIROS;SÃO PAULO;SP;1451904;11;31060151;coin@coinvalores.com.br
92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA;CORRETORA GERAL DE VALORES E CAMBIO LTDA;2009-04-30;;;ATIVO;2009-04-30;CORRESPONDÊNCIA. ADM. FUNDO;DR. JOSÉ MONTAURY, 139;7 ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90010090;51;32132727;cinternos@geralinvestimentos.com.br
92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA;CORRETORA GERAL DE VALORES E CAMBIO LTDA;2009-04-30;2009-06-15;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2009-06-15;CORRESPONDÊNCIA. ADM. FUNDO;DR. JOSÉ MONTAURY, 139;7 ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90010090;51;32132727;cinternos@geralinvestimentos.com.br
92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA;CORRETORA GERAL DE VALORES E CAMBIO LTDA;2009-10-01;2009-11-16;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2009-11-16;CORRESPONDÊNCIA. ADM. FUNDO;DR. JOSÉ MONTAURY, 139;7 ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90010090;51;32132727;cinternos@geralinvestimentos.com.br
92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA;CORRETORA GERAL DE VALORES E CAMBIO LTDA;2009-04-30;2010-07-21;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2010-07-21;CORRESPONDÊNCIA. ADM. FUNDO;DR. JOSÉ MONTAURY, 139;7 ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90010090;51;32132727;cinternos@geralinvestimentos.com.br
92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA;CORRETORA GERAL DE VALORES E CAMBIO LTDA;2009-04-30;2010-09-16;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2010-09-16;CORRESPONDÊNCIA. ADM. FUNDO;DR. JOSÉ MONTAURY, 139;7 ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90010090;51;32132727;cinternos@geralinvestimentos.com.br
92.858.380/0001-18;CORRETORA GERAL DE VALORES E CAMBIO LTDA;CORRETORA GERAL DE VALORES E CAMBIO LTDA;2009-04-30;2010-10-07;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2010-10-07;CORRESPONDÊNCIA. ADM. FUNDO;DR. JOSÉ MONTAURY, 139;7 ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90010090;51;32132727;cinternos@geralinvestimentos.com.br
61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A;2006-12-28;;;ATIVO;2006-12-28;CORRESPONDÊNCIA. ADM. FUNDO;LEOPOLDO COUTO MAGALHÃES JR.;700 - 10º AND;ITAIM BIBI;SÃO PAULO;SP;4542000;11;37016800;list.csbg-unicad@credit-suisse.com
28.048.783/0001-00;ELITE CCVM LTDA;ELITE;2016-07-04;;;ATIVO;2016-07-04;CORRESPONDÊNCIA. ADM. FUNDO;PRAÇA PIO X;55 - 11º ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040020;21;21422100;ol-juridico-societario@btgpactual.com
37.678.915/0001-60;FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;FIDD DTVM;2020-11-12;;;ATIVO;2020-11-12;;;;;;;;;;alexandre.chara@fiddgroup.com
03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FINAXIS CTVM S/A;2015-11-26;;;ATIVO;2015-11-26;CORRESPONDÊNCIA. ADM. FUNDO;AV PAULISTA, 1842;TN - CJ 17;BELA VISTA;SÃO PAULO;SP;1310923;11;35269001;servicosfinanceiros@finaxis.com.br
03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FINAXIS CTVM S/A;2010-12-14;2011-01-31;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2011-01-31;CORRESPONDÊNCIA. ADM. FUNDO;AV PAULISTA, 1842;TN - CJ 17;BELA VISTA;SÃO PAULO;SP;1310923;11;35269001;servicosfinanceiros@finaxis.com.br
03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FINAXIS CTVM S/A;2011-03-18;2012-09-05;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2012-09-05;CORRESPONDÊNCIA. ADM. FUNDO;AV PAULISTA, 1842;TN - CJ 17;BELA VISTA;SÃO PAULO;SP;1310923;11;35269001;servicosfinanceiros@finaxis.com.br
36.266.751/0001-00;FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;2021-03-12;;;ATIVO;2021-03-12;;;;;;;;;;andre.pina@finvestdtvm.com.br
13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2016-07-22;;;ATIVO;2016-07-22;CORRESPONDÊNCIA. ADM. FUNDO;R DR EDUARDO SOUZA ARANHA;153, 4º ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543120;11;35133100;controlesinternos@framcapital.com
10.749.264/0001-04;GDC PARTNERS SERVICOS FIDUCIARIOS DTVM LTDA;GDC PARTNERS DTVM;2011-01-05;2015-12-22;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2015-12-22;CORRESPONDÊNCIA. ADM. FUNDO;AV AYRTON SENNA, 3000 PTE 3;BL ITANHANGÁ-3105;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22750003;21;24904305;gdc@gdcdtvm.com.br
27.652.684/0001-62;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;GENIAL INVESTIMENTOS;2013-02-26;;;ATIVO;2013-02-26;CORRESPONDÊNCIA. ADM. FUNDO;PRAIA DE BOTAFOGO 228;SALA 913 (PARTE);BOTAFOGO;RIO DE JANEIRO;RJ;22250040;021;39233000;atendimentocvm.corretora@genial.com.vc
37.800.856/0001-51;GREEN ALTERNATIVE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A;GREEN ALTERNATIVE INVESTMENTS DTVM S.A.;2020-05-29;;;ATIVO;2020-05-29;;;;;;;;;;rm@green.com.ai
07.253.654/0001-76;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;2018-06-04;;;ATIVO;2018-06-04;CORRESPONDÊNCIA. ADM. FUNDO;AV. BRIG. FARIA LIMA, 3600;11º ANDAR (CJ 112) PARTE;ITAIM BIBI;SÃO PAULO;SP;4538132;;;ricardo.freitas@hedgeinvest.com.br
39.669.186/0001-01;HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;HEMERA DTVM;2022-05-20;;;ATIVO;2022-05-20;;;;;;;;;;compliance@hemeradtvm.com.br
62.062.716/0001-70;HSBC DTVM BRASIL LTDA.;HSBC DTVM BRASIL LTDA;1997-05-21;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;RUA TENENTE F. F. DE SOUZA,805;BLOCO 1ALA 3;HAUER;CURITIBA;PR;81630010;41;2173123;jose.feitosa@bradesco.com.br
31.265.903/0001-28;ICATU PARTICIPAÇÕES LTDA;ICATU PARTICIPAÇÕES LTDA;1997-06-03;2005-06-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2005-06-24;CORRESPONDÊNCIA. ADM. FUNDO;AV PRESIDENTE WILSON 231/9 AND;;CASTELO;RIO DE JANEIRO;RJ;20030021;;;cparafit@icatu.com.br
